FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
144,2022-03-03 14:35:00+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,11,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.6039558,28.6080585
145,2022-03-09 13:45:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,6,B1052,-80.577366,28.5618571
146,2022-03-19 03:24:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1051,-80.577366,28.5618571
147,2022-04-01 16:24:00+00:00,Falcon 9,8117.574038461539,SSO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.577366,28.5618571
148,2022-04-08 15:17:00+00:00,Falcon 9,8117.574038461539,ISS,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.6039558,28.6080585
149,2022-04-17 13:13:00+00:00,Falcon 9,8117.574038461539,LEO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,3,B1071,-120.610829,34.632093
150,2022-04-21 15:16:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,12,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060,-80.577366,28.5618571
151,2022-04-27 07:52:00+00:00,Falcon 9,8117.574038461539,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3033383ecb075134e7cd,5.0,5,B1067,-80.6039558,28.6080585
152,2022-04-29 21:27:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8,B1062,-80.577366,28.5618571
153,2022-05-06 09:42:00+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,12,True,True,True,5e9e3033383ecb075134e7cd,5.0,13,B1058,-80.6039558,28.6080585
154,2022-05-13 22:07:00+00:00,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093
155,2022-05-14 20:40:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,2,B1073,-80.577366,28.5618571
156,2022-05-18 10:40:00+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,6,B1052,-80.6039558,28.6080585
157,2022-05-25 18:27:00+00:00,Falcon 9,8117.574038461539,SSO,CCSFS SLC 40,True RTLS,8,True,True,True,5e9e3032383ecb267a34e7c7,5.0,9,B1061,-80.577366,28.5618571
158,2022-06-08 21:04:00+00:00,Falcon 9,3938.0,GEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8,B1062,-80.577366,28.5618571
159,2022-06-01 17:08:50+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,13,True,True,True,5e9e3033383ecb075134e7cd,5.0,12,B1060,-80.6039558,28.6080585
160,2022-06-18 14:19:00+00:00,Falcon 9,2200.0,SSO,VAFB SLC 4E,True RTLS,3,True,True,True,5e9e3032383ecb554034e7c9,5.0,3,B1071,-120.610829,34.632093
161,2022-06-19 04:27:00+00:00,Falcon 9,700.0,LEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1061,-80.577366,28.5618571
162,2022-06-29 21:04:00+00:00,Falcon 9,3500.0,MEO,CCSFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,2,B1073,-80.577366,28.5618571
163,2022-07-07 13:11:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058,-80.577366,28.5618571
164,2022-07-11 01:39:00+00:00,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093
165,2022-07-15 00:44:00+00:00,Falcon 9,8117.574038461539,ISS,KSC LC 39A,True ASDS,5,True,True,True,5e9e3033383ecb075134e7cd,5.0,5,B1067,-80.6039558,28.6080585
166,2022-07-17 14:50:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,13,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1051,-80.577366,28.5618571
167,2022-07-21 17:13:00+00:00,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1071,-120.610829,34.632093
168,2022-07-24 00:00:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,8,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.577366,28.5618571
169,2022-08-04 23:08:00+00:00,Falcon 9,678.0,TLI,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6,B1052,-80.577366,28.5618571
170,2022-08-09 22:57:00+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3033383ecb075134e7cd,5.0,2,B1073,-80.6039558,28.6080585
171,2022-08-12 21:30:00+00:00,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,10,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1061,-120.610829,34.632093
172,2022-08-19 19:24:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,9,True,True,True,5e9e3033383ecb075134e7cd,5.0,8,B1062,-80.577366,28.5618571
173,2022-08-28 02:22:00+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3033383ecb075134e7cd,5.0,1,B1069,-80.6039558,28.6080585
174,2022-08-31 05:40:00+00:00,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,7,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6,B1063,-120.610829,34.632093
175,2022-09-05 02:09:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,7,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6,B1052,-80.577366,28.5618571
176,2022-09-11 01:10:00+00:00,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,14,True,True,True,5e9e3033383ecb075134e7cd,5.0,13,B1058,-80.6039558,28.6080585
177,2022-09-17 01:05:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,6,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,5,B1067,-80.577366,28.5618571
178,2022-09-24 23:30:00+00:00,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,4,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1072,-80.577366,28.5618571
179,2022-10-05 16:00:00+00:00,Falcon 9,8117.574038461539,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0,B1077,-80.6039558,28.6080585
